 Optimized Solution after maximum provided iteration.This file contains vector of points of the generated path.
X	Y
23.6367	31.1411
26.1583	47.1399
29.0362	64.9747
27.7455	82.9295
26.2947	92.8237
27.438	112.457
27.7643	135.223
29.6147	154.621
32.9337	176.158
39.2123	199.252
38.6736	206.062
38.4363	225.259
38.2737	242.204
39.2784	263.047
39.991	278.379
43.6033	298.938
47.7361	322.117
44.9986	343.538
43.8602	357.558
43.1908	382.05
42.9771	389.721
43.4309	411.817
40.4343	435.305
36.3977	458.638
35.0357	470.535
34.5537	485.691
34.9816	510.562
32.9382	535.358
35.4419	558.087
36.4795	561.962
36.9901	584.899
37.5744	606.658
36.8545	621.538
37.8987	643.375
38.7516	648.805
45.6586	672.257
46.1786	688.997
47.5904	701.255
46.0443	717.574
46.6831	740.105
44.7152	761.358
42.2153	777.93
39.9209	800.183
37.4415	812.448
35.3521	834.863
33.2939	854.349
32.3226	865.884
30.9152	882.826
28.8427	898.883
27.2461	911.333
27.1411	930.52
26.8383	940.516
25.509	965.013
25	975
