 Optimized Solution after maximum provided iteration.This file contains vector of points of the generated path.
X	Y
241.296	400.511
259.597	414.578
279.224	427.594
289.985	434.283
304.13	442.727
316.602	462.486
320.07	482.054
319.134	496.287
312.317	507.315
309.004	523.26
306.168	546.79
305.867	546.959
302.719	561.326
300.189	578.659
297.22	595.998
290.155	615.441
288.373	623.221
284.551	641.945
278.791	664.845
261.817	681.814
257.266	689.586
244.702	704.933
246.987	723.088
237.732	736.872
220.337	753.489
207.757	773.539
198.043	787.195
179.192	798.077
170.26	802.573
158.107	817.765
146.86	833.075
139.565	839.915
138.733	842.202
122.332	860.773
104.088	876.537
87.8015	891.472
87.7865	891.597
72.6495	909.597
60.8699	931.314
48.2247	943.73
33.6899	958.738
25	975
