 Optimized Solution after maximum provided iteration.This file contains vector of points of the generated path.
X	Y
30.4282	32.9863
32.6708	56.7844
44.6436	78.2268
43.9856	102.558
50.1398	115.289
57.0837	130.142
66.4693	152.067
72.7096	174.332
76.636	183.736
83.7224	205.256
89.2946	223.919
95.069	246.957
100.011	268.913
103.686	277.075
109.128	294.019
116.829	315.83
121.526	335.959
125.391	345.676
132.444	361.643
136.809	370.43
149.368	391.791
156.284	407.544
168.376	425.285
170.221	435.041
181.713	457.095
187.441	470.32
198.572	487.953
207.834	510.374
212.928	523.909
225.385	543.877
237.845	565.18
241.67	571.206
254.004	590.961
263.378	609.466
272.29	622.489
286.722	642.577
296.96	660.073
311.473	679.247
327.475	693.881
334.744	700.748
336.971	723.279
336.989	737.532
333.253	762.129
334.729	786.648
335.656	798.032
323.244	809.737
314.277	813.449
302.241	821.354
286.845	833.461
279.218	840.255
262.899	850.986
247.479	854.113
230.174	863.181
214.805	870.44
194.806	882.123
178.429	891.718
156.361	902.595
141.956	913.46
123.214	925.971
112.118	931.962
93.4684	944.019
74.1962	953.288
55.0138	961.062
46.5141	965.248
25	975
