Saved a vector of rrt <nodes> points.
X	Y
250	250
241.411	255.121
249.535	240.011
255.448	231.946
263.894	237.3
270.562	244.752
276.883	237.003
272.627	246.052
274.626	255.85
267.254	237.618
271.036	265.184
268.046	227.65
274.919	274.399
267.956	281.577
258.473	224.757
281.982	281.479
289.044	288.558
260.24	287.937
262.15	215.458
267.962	207.32
250.497	285.686
277.913	206.336
267.723	294.571
265.092	197.741
287.338	209.679
240.585	284.361
232.115	279.045
272.776	303.2
282.468	305.663
289.945	312.304
271.288	189.892
288.495	322.198
263.177	184.042
279.994	184.973
285.884	331.851
277.001	336.442
292.832	339.043
302.832	339.177
310.618	345.451
320.568	344.449
268.722	330.833
253.604	186.931
259.018	333.247
249.496	196.049
252.366	340.714
244.306	346.633
251.24	353.839
239.618	197.61
328.153	350.965
234.245	206.044
335.739	357.482
224.816	209.376
254.627	176.984
234.369	345.514
246.832	346.081
345.538	359.473
264.408	179.069
274.017	181.836
253.599	363.557
282.165	176.038
290.01	182.24
353.46	353.371
360.529	360.444
367.598	367.518
225.404	349.944
299.286	185.974
216.008	346.52
251.742	167.409
247.133	371.185
241.781	168.291
308.144	181.333
315.622	187.973
364.546	377.04
208.624	339.777
371.977	383.732
379.409	390.423
243.674	380.568
199.514	343.901
233.52	162.656
325.067	184.688
223.745	164.764
327.224	174.924
355.523	351.787
388.886	393.613
215.408	170.286
191.601	350.016
254.135	364.045
398.388	396.728
346.44	347.605
211.99	330.361
205.5	168.932
405.396	403.863
245.125	390.462
197.844	162.498
181.795	348.052
188.171	159.965
412.403	410.997
372.863	397.983
328.651	165.026
181.612	152.416
419.41	418.131
334.284	188.568
366.531	390.244
426.418	425.266
433.425	432.4
338.586	163.888
173.827	146.139
223.171	176.59
340.133	154.008
165.028	150.89
339.26	144.047
224.704	186.472
174.164	136.145
240.891	399.521
433.87	418.597
246.759	407.618
241.019	415.807
343.763	135.118
343.409	125.124
358.266	384.614
440.432	439.534
326.824	195.227
233.135	421.958
155.813	147.006
355.089	375.132
447.439	446.668
454.447	453.803
180.219	128.187
338.746	116.278
182.01	118.349
191.384	114.866
151.732	156.136
231.895	403.888
223.143	422.375
146.78	142.716
353.744	135.727
322.262	204.126
148.836	165.707
145.521	175.142
348.944	388.233
320.186	213.908
236.999	390.31
461.454	460.937
360.842	366.953
135.541	174.507
125.657	176.026
328.777	219.025
466.516	469.561
196.015	106.003
116.416	179.848
474.059	476.126
328.924	114.401
363.263	132.662
367.793	359.763
345.142	108.591
218.036	430.972
242.665	424.985
151.393	183.236
338.768	219.452
175.71	110.583
450.585	438.754
228.783	384.609
448.711	428.931
347.219	224.798
450.164	419.037
481.602	482.691
185.772	136.504
112.248	188.938
230.341	374.731
489.145	489.256
233.198	399.193
367.936	374.001
482.483	470.738
468.448	457.266
490	490
208.226	432.911
371.011	126.339
107.268	197.61
352.185	233.477
490	490
220.504	372.933
198.406	431.022
166.257	113.824
362.035	231.753
160.698	105.512
380.325	122.702
150.715	106.092
389.348	127.013
188.747	428.429
97.2719	197.889
490	490
319.844	223.52
456.743	471.68
110.703	207.001
88.4466	202.592
181.532	435.353
201.509	97.6472
171.594	436.466
490	490
310.346	220.392
81.0163	209.284
490	490
191.724	144.54
490	490
490	490
185.869	444.364
140.831	104.573
398.777	123.68
77.8114	218.757
162.155	433.165
116.355	215.251
197.57	88.4554
131.103	102.257
388.018	136.924
454.317	409.94
178.514	451.139
118.955	224.907
