Saved a vector of rrt <nodes> points.
X	Y
250	250
250.789	240.031
243.704	257.769
258.994	234.315
262.931	225.122
269.439	232.714
276.072	225.23
266.618	221.971
283.198	218.215
256.786	223.8
289.378	226.077
298.909	223.049
250.006	231.15
307.873	227.482
315.299	220.785
313.573	235.698
319.273	243.915
313.103	211.029
323.889	252.786
314.95	201.201
310.113	192.449
326.122	262.533
302.671	185.769
322.146	271.709
307.622	177.081
293.943	180.89
329.563	278.416
284.218	183.22
280.743	173.844
335.605	286.384
275.651	188.378
342.009	294.065
352.008	293.926
320.017	281.395
311.733	286.997
272.167	168.7
359.447	300.61
366.829	293.864
365.122	308.843
303.27	292.324
294.227	296.593
370.525	284.572
372.785	315.268
289.26	305.272
281.155	164.317
291.085	163.135
265.392	176.055
381.236	320.614
386.639	329.028
280.384	309.879
392.042	337.443
295.191	172.253
277.798	319.539
269.335	324.867
257.335	170.131
297.201	155.223
305.655	149.882
261.006	330.401
252.687	335.95
243.821	340.575
254.092	160.671
234.361	337.334
397.445	345.858
402.848	354.272
248.827	175.385
408.598	362.455
238.844	174.798
224.362	337.174
230.585	169.16
312.609	142.695
278.762	321.528
216.49	343.34
322.403	144.714
332.35	143.686
413.978	370.884
419.357	379.314
206.742	345.572
342.307	144.62
252.136	150.864
425.224	387.412
198.048	350.513
421.512	396.697
223.616	161.988
221.25	352.134
197.6	360.503
196.027	370.378
351.227	140.101
214.766	157.332
356.993	131.931
273.236	313.194
366.932	130.829
427.429	404.758
205.134	154.645
415.892	361.069
412.219	400.391
209.76	148.742
433.346	412.82
275.568	322.918
423.397	354.46
282.276	308.919
439.264	420.881
201.848	142.626
402.466	402.602
445.181	428.942
451.098	437.003
186.229	372.378
218.58	144.029
444.91	444.859
405.893	361.215
376.271	127.254
397.584	355.651
177.338	367.801
446.6	445.031
215.726	167.286
266.301	305.989
394.088	408.062
422.352	344.515
172.186	359.23
193.023	137.924
272.388	332.399
453.544	452.226
169.069	373.425
164.846	382.489
227.989	147.414
155.017	380.644
460.489	459.422
467.433	466.617
431.69	340.936
366.431	129.034
195.825	375.192
203.003	382.155
231.925	138.221
165.906	351.448
212.693	384.625
389.931	417.157
205.931	169.302
183.88	141.976
145.533	377.473
387.874	353.259
256.303	305.77
136.813	372.578
380.57	413.639
474.378	473.813
430.762	330.979
126.827	373.102
435.649	322.255
121.153	364.868
370.64	119.963
379.678	358.99
370.966	416.425
481.322	481.008
460.288	444.842
435.031	312.274
380.102	123.198
193.264	127.927
185.698	121.389
434.2	302.309
237.365	150.892
360.998	417.228
243.137	159.058
421.992	326.175
444.987	311.335
387.778	116.789
434.846	292.329
434.88	282.33
488.266	488.204
111.51	367.514
102.653	362.871
475.558	460.788
490	490
165.573	341.454
249.971	298.03
210.184	178.353
218.536	392.74
490	490
173.929	142.965
373.084	426.198
161.136	332.492
385.254	107.113
490	490
244.315	143.702
254.168	141.994
199.094	119.803
388.19	420.116
215.731	383.141
201.496	183.305
164.382	145.94
180.521	112.833
208.945	375.796
217.429	402.678
490	490
453.912	306.824
383.709	97.2328
380.525	87.7533
156.378	151.934
111.861	377.507
412.152	324.393
171.831	107.885
490	490
228.398	394.396
375.458	132.054
490	490
365.988	408.562
490	490
490	490
424.92	281.431
390.615	91.9376
259.116	293.984
234.056	386.15
355.531	425.601
263.588	145.349
427.207	334.708
102.826	381.792
268.526	297.368
195.127	191.014
402.291	326.058
217.903	184.709
92.8263	381.692
199.26	378.288
381.215	77.7771
348.211	432.414
384.452	136.425
169.942	98.0651
426.824	344.7
490	490
175.937	90.0619
461.318	313.544
84.3715	376.352
183.092	83.0754
88.1913	390.553
242.738	381.188
490	490
160.015	96.8523
429.3	272.441
77.5016	369.085
470.166	308.884
177.443	117.421
357.418	403.409
77.8158	359.09
146.482	153.375
353.238	394.324
178.466	74.2098
234.263	402.495
387	430.045
481.698	484.425
186.16	67.8225
190.415	199.835
116.358	368.576
372.844	72.3067
236.109	412.323
139.809	160.823
212.572	411.42
91.1439	400.107
184.22	207.684
479.379	474.697
176.216	213.679
73.5314	350.055
398.747	86.117
395.782	425.261
73.6744	342.025
259.591	283.996
490	490
67.5191	368.495
406.218	79.4696
271.148	151.895
151.998	90.8751
415.923	81.8775
206.388	419.278
348.697	385.415
409.83	319.487
166.85	217.182
426.356	262.884
69.9899	332.728
202.767	387.653
474.274	299.767
131.165	165.851
144.34	84.4448
88.3814	409.718
169.548	226.811
227.859	185.651
278.943	158.159
490	490
373.001	62.308
249.721	285.599
430.466	253.768
393.633	140.39
471.955	467.998
490	490
490	490
402.094	135.059
98.2624	408.18
385.719	439.962
103.688	416.58
143.578	74.4738
146.544	151.044
490	490
490	490
393.002	150.37
411.974	136.599
339.278	388.772
167.668	236.633
466.849	305.423
490	490
490	490
80.0082	415.185
142.379	64.546
423.383	75.2171
364.277	57.4187
132.381	64.7709
378.251	446.612
220.813	178.555
137.329	147.161
123.565	172.35
113.8	170.198
266.137	276.436
385.433	138.68
330.424	390.302
122.568	62.8491
461.366	313.786
431.489	69.3614
368.919	443.018
264.75	266.532
198.012	378.856
475.373	458.6
157.305	214.2
233.76	177.578
108.95	178.943
100.162	183.715
421.929	137.545
74.9168	361.767
490	490
490	490
429.83	143.674
70.211	322.731
378.706	456.602
240.198	282.546
215.203	424
115.668	70.0871
263.264	293.297
272.553	141.994
429.586	59.5441
359.249	445.567
261.015	289.008
106.606	65.8583
320.599	392.161
374.61	465.724
99.1654	59.1771
416.461	264.328
