Saved a vector of rrt <nodes> points.
X	Y
25	2975
30.775	2966.84
38.5973	2960.61
41.6106	2951.07
47.8932	2943.29
55.2142	2936.48
64.149	2931.99
72.5712	2926.6
81.3774	2921.86
85.799	2912.89
87.6863	2903.07
95.9981	2897.51
99.915	2888.31
109.787	2886.72
119.407	2883.98
128.739	2880.39
133.747	2871.73
133.862	2861.73
134.247	2851.74
140.851	2844.23
146.352	2835.88
155.059	2830.96
158.334	2821.51
168.325	2821.08
177.877	2818.13
187.877	2818.16
177.806	2808.13
197.833	2817.22
204.784	2810.03
177.827	2798.13
214.766	2810.64
224.734	2811.44
234.231	2808.31
244.101	2806.7
253.626	2803.66
259.429	2795.51
264.684	2787.01
270.181	2778.65
273.557	2769.24
280.707	2762.25
288.851	2756.44
294.886	2748.47
298.959	2739.34
308.194	2735.5
312.814	2726.63
322.597	2724.56
326.663	2715.43
332.759	2707.5
342.263	2710.61
347.423	2702.04
357.372	2703.05
367.109	2700.77
376.983	2702.35
386.983	2702.24
396.928	2703.29
406.879	2702.3
416.876	2702.57
150.305	2815.55
426.677	2704.55
125.758	2846.46
436.152	2701.36
444.932	2706.14
453.427	2700.87
463.402	2700.17
472.746	2703.73
482.624	2705.29
492.15	2708.33
499.643	2701.71
509.631	2702.21
519.63	2702.16
529.424	2704.18
539.399	2704.89
548.515	2700.77
491.588	2718.32
558.509	2701.11
568.508	2700.96
578.471	2700.1
588.359	2701.58
174.172	2788.82
598.304	2702.64
608.22	2703.93
618.217	2704.16
627.638	2700.8
637.578	2701.9
647.526	2700.88
656.148	2705.94
664.639	2700.66
674.516	2702.22
684.338	2704.1
694.21	2702.51
703.891	2700
713.874	2700.59
720.49	2708.09
306.552	2718.84
730.49	2708.2
738.323	2701.98
748.314	2701.56
755.578	2708.43
684.426	2714.1
765.277	2705.99
775.11	2704.17
785.046	2703.05
795.017	2703.82
804.941	2705.04
703.985	2690
814.635	2702.58
703.094	2680.04
824.565	2701.41
704.964	2670.22
707.294	2660.49
706.659	2650.51
705.746	2640.56
834.561	2701.7
844.558	2701.95
706.992	2630.63
710.176	2621.15
714.203	2612
716.846	2602.36
300.441	2710.92
854.446	2703.44
864.346	2702.03
874.344	2701.84
884.026	2704.34
894.025	2704.19
903.14	2700.07
314.157	2743.53
490.241	2728.23
913.124	2700.64
922.999	2702.22
932.916	2703.5
143.667	2872.99
942.481	2700.59
149.164	2881.35
952.396	2701.88
298.191	2701.18
962.271	2703.46
972.108	2701.66
982.039	2702.83
587.254	2711.52
991.983	2701.78
89.6138	2927.53
1001.32	2705.35
1007.48	2697.48
1013.44	2689.44
1023.4	2690.35
1027.41	2681.19
1037.4	2681.75
1040.12	2672.13
1049.99	2670.57
1056.03	2662.59
1064.59	2657.43
1071.62	2650.32
1075.98	2641.32
1081.44	2632.94
1086.4	2624.25
