Saved a vector of rrt <nodes> points.
X	Y
250	250
254.703	241.175
262.502	234.916
253.683	259.297
244.614	255.084
251.837	262
259.798	268.051
260.995	277.979
257.798	258.253
256.566	286.945
264.198	293.406
251.783	278.163
274.151	294.375
281.169	301.499
280.245	286.447
288.592	308.2
296.015	314.9
292.173	324.133
292.918	334.105
283.997	338.624
279.606	303.812
284.068	294.862
269.646	304.7
287.23	285.376
259.968	307.22
291.156	345.606
250.699	310.97
241.488	307.076
282.398	276.621
299.247	351.482
295.48	291.027
304.943	294.261
275.813	269.094
236.203	315.565
231.538	324.411
223.022	329.652
306.565	358.298
274.706	259.156
314.688	364.13
275.236	249.17
267.055	243.419
324.184	367.265
258.167	238.836
282.04	241.842
288.133	233.912
289.274	223.977
213.188	331.465
248.311	237.15
332.222	373.214
339.831	379.703
347.89	385.622
356.581	380.675
363.259	388.119
238.442	238.765
373.258	387.979
229.832	233.678
295.718	216.33
203.618	334.368
220.271	230.749
218.98	339.617
197.368	342.174
300.465	207.529
380.787	394.559
388.317	401.14
308.744	201.921
188.146	338.305
178.69	341.558
289.615	224.252
311.495	192.307
320.156	187.307
325.462	178.831
318.589	171.567
171.295	334.826
211.631	225.715
395.847	407.72
403.377	414.3
203.259	220.246
371.874	390.026
335.194	181.13
387.955	387.586
313.547	162.931
344.321	177.044
295.119	232.6
218.903	218.851
296.856	242.448
350.936	169.545
353.452	159.866
173.03	349.802
176.486	359.186
362.983	156.841
372.29	153.183
410.907	420.881
420.818	422.209
362.148	387.704
200.211	210.721
286.07	228.344
427.961	429.207
174.385	368.962
299.247	250.812
163.094	350.926
435.103	436.206
192.425	204.447
382.238	154.205
442.246	443.205
449.388	450.204
310.583	153.381
373.164	143.221
166.654	375.305
304.364	145.549
181.742	375.735
299.301	136.926
305.509	129.086
423.44	412.558
381.605	164.185
302.568	119.529
356.594	379.387
378.441	134.727
289.764	139.932
197.202	220.258
355.817	395.445
456.531	457.203
443.22	458.075
187.452	222.482
428.023	403.67
153.233	349.262
463.673	464.202
470.816	471.201
302.402	260.302
187.529	195.727
147.459	341.098
391.136	167.213
177.568	196.605
171.252	345.144
387.083	176.355
171.457	188.69
346.9	399.971
297.048	251.855
384.61	126.857
139.612	334.899
337.06	398.188
303.257	270.265
191.413	373.193
477.958	478.2
129.742	333.289
484.383	485.863
287.423	249.146
351.724	370.653
121.278	338.614
186.818	232.462
344.815	409.751
490	490
327.103	397.27
149.244	358.432
306.109	279.85
284.894	239.47
113.338	332.535
106.63	339.952
377.572	179.444
401.068	168.375
376.925	120.459
145.487	367.699
368.264	115.459
359.094	111.472
350.727	105.995
317.103	397.238
490	490
348.537	96.2374
98.1143	334.71
147.499	377.495
490	490
151.566	362.82
283.613	229.553
350.953	417.646
89.1548	339.152
490	490
80.0011	335.126
388.825	135.925
163.135	183.145
178.541	181.632
490	490
357.96	362.836
476.84	468.263
195.546	382.299
352.714	354.323
161.339	173.308
276.905	222.137
311.764	265.007
70.0964	336.503
354.759	88.4086
362.281	81.8197
490	490
196.718	372.368
200.278	363.023
163.308	163.504
370.01	75.4743
370.527	65.4876
367.953	362.464
67.1708	346.066
490	490
370.332	105.676
156.861	190.933
490	490
310.199	390.002
490	490
490	490
112.029	347.778
341.51	109.873
182.69	190.73
342.328	119.84
468.504	473.786
310.195	404.469
168.238	154.804
321.246	268.183
66.3076	327.249
151.488	171.585
61.9605	354.601
202.529	353.28
349.19	407.802
291.005	236.288
208.509	368.703
142.613	386.219
67.5526	340.746
286.269	245.096
137.746	394.955
490	490
380.424	66.9158
174.05	146.666
366.794	56.2104
52.2718	357.077
395.142	143.678
135.169	404.617
490	490
402.466	150.486
144.214	164.724
406.178	159.772
129.747	413.02
416.132	158.819
67.5299	317.324
276.513	247.288
267.222	243.589
135.246	169.149
216.843	374.229
125.848	172.568
425.009	163.423
433.387	168.884
176.04	136.866
371.15	352.989
357.559	52.3739
381.139	353.468
350.364	59.3185
331.741	107.735
397.246	164.267
260.157	250.666
340.909	56.0613
307.783	380.299
62.6414	308.6
208.559	345.302
155.522	200.843
192.683	191.1
458.686	471.886
297.399	228.599
490	490
42.5013	359.207
118.2	166.125
181.411	128.431
198.033	199.549
390.423	66.7633
154.349	210.774
373.075	343.176
217.474	384.209
221.717	393.264
371.355	47.3113
190.841	125.104
294.917	218.912
125.487	422.067
430.925	155.36
109.132	161.911
301.845	372.253
305.893	363.109
307.315	227.305
323.493	102.081
490	490
146.225	216.604
426.672	172.152
388.107	360.641
144.78	407.378
400.415	67.166
490	490
490	490
381.113	337.227
