Saved a vector of rrt <nodes> points.
X	Y
475	475
472.733	465.26
464.296	459.891
454.421	461.463
452.379	451.674
443.793	446.547
436.371	439.845
435.869	429.857
426.044	427.996
428.339	445.802
444.107	456.79
450.414	470.625
480.145	483.575
440.978	426.706
487.324	490.537
447.494	429.124
444.566	465.363
447.171	447.454
425.075	425.874
426.098	455.044
470.689	452.201
447.353	440.191
466.774	442.999
434.104	461.037
451.506	440.74
438.652	447.312
466.644	457.059
454.043	428.758
445.687	427.726
415.075	425.865
414.366	415.89
408.32	407.925
398.325	408.243
389.156	404.252
381.064	398.377
371.196	399.992
364.112	392.933
384.097	388.848
357.462	385.465
350.334	378.451
340.611	376.115
332.011	381.217
323.949	375.3
323.165	365.331
317.123	357.363
310.824	349.596
306.823	340.431
314.727	334.305
299.513	333.608
289.605	334.964
319.946	325.775
388.764	380.004
315.433	316.851
281.14	340.288
312.582	307.266
302.586	307.551
316.55	298.087
333.738	391.067
315.263	288.17
307.661	281.673
323.753	282.886
397.378	374.924
430.331	467.091
404.226	367.636
275.352	348.443
406.746	373.6
331.1	276.101
301.247	274.001
295.325	265.943
285.633	268.404
275.671	267.532
298.61	256.498
300.905	246.765
293.601	239.935
296.135	230.261
333.729	401.067
291.813	221.243
275.436	358.442
299.368	214.692
282.617	217.313
307.021	208.255
410.575	359.911
313.085	200.303
275.002	210.832
308.136	191.613
315.147	184.482
265.028	211.563
323.609	179.154
256.047	215.959
333.473	180.8
249.701	208.23
240.163	211.234
231.463	206.304
414.683	350.794
326.495	407.971
222.268	210.237
214.512	203.925
205.948	198.762
198.885	191.683
250.022	198.235
303.813	312.425
190.726	185.901
186.546	176.816
177.518	172.515
180.974	163.131
317.755	283.218
411.437	398.423
418.73	341.649
185.441	154.184
418.996	331.652
410.426	431.173
408.075	437.835
487.669	479.549
323.853	169.157
341.781	175.234
183.808	144.318
177.935	136.225
208.481	211.902
218.852	208.135
318.78	160.539
180.444	126.544
200.466	217.882
311.395	153.796
351.622	177.005
202.146	227.74
361.358	179.289
176.227	117.477
417.396	321.781
194.65	234.358
306.283	343.882
318.818	414.38
370.337	183.691
186.54	240.21
255.433	199.386
277.085	368.305
419.842	312.085
402.063	445.826
313.66	144.056
183.32	249.677
291.539	252.64
170.673	109.161
190.448	256.69
377.597	176.814
297.181	325.425
210.679	232.955
163.703	101.99
195.444	172.253
184.204	264.501
318.367	135.233
386.329	171.941
338.86	282.408
451.169	442.509
155.828	95.8274
348.628	280.265
321.942	125.894
147.114	90.9212
396.304	171.237
310.446	419.848
139.223	97.0638
171.134	95.2984
488.61	484.731
394.556	452.432
386.488	458.341
179.382	89.6445
176.108	270.37
135.928	106.506
148.012	80.9616
358.039	283.647
327.446	117.545
301.738	424.765
312.692	122.094
126.261	109.061
301.924	157.005
397.918	161.368
303.666	117.79
413.991	404.766
390.23	467.615
354.269	292.91
166.881	121.032
402.271	152.365
305.377	411.228
292.35	428.209
293.316	162.095
364.653	191.919
411.232	147.927
419.009	154.214
295.889	437.561
334.068	110.052
139.825	75.2191
282.695	430.812
396.221	361.643
354.634	302.903
181.504	79.8722
407.28	138.741
188.514	176.826
130.036	77.2617
422.453	302.432
117.036	112.921
345.883	307.743
344	111.22
117.815	102.952
347.337	101.793
175.281	280.336
120.287	75.0332
415.255	132.708
408.419	125.409
424.025	127.902
303.346	107.795
165.318	281.204
107.079	111.995
141.829	87.3948
112.351	68.9488
313.463	161.876
432.153	300
100.991	119.929
365.823	197.235
352.543	93.2557
91.0451	120.964
104.34	62.9643
85.8526	129.51
294.372	103.382
419.738	154.526
423.983	404.361
83.4441	139.215
317.629	426.805
351.187	118.173
436.579	291.033
379.092	451.61
305.324	411.411
85.688	148.96
155.42	282.628
429.305	284.171
421.688	164.334
358.546	387.639
156.953	119.829
381.44	373.196
394.973	476.418
96.4663	56.7992
409.354	115.453
281.466	277.495
178.369	234.446
353.216	83.2784
147.237	288.375
414.277	106.749
87.5116	52.348
406.03	407.507
289.678	254.478
139.248	294.389
291.997	93.6686
284.38	103.777
374.715	201.812
101.663	113.112
132.193	301.477
184.339	284.572
93.8437	106.879
82.0385	43.9787
117.167	60.1844
125.443	308.855
188.55	72.7759
141.662	280.074
192.13	290.841
246.273	188.965
76.1741	152.04
408.508	326.365
115.716	306.531
282.069	113.507
109.829	314.614
412.656	379.392
99.8356	314.989
297.13	125.358
191.586	300.826
272.759	117.156
193.218	310.692
215.683	239.865
276.259	97.9418
439.07	307.222
89.9194	316.281
275.471	437.727
419.287	333.874
80.4993	319.637
111.998	79.9639
403.581	442.21
302.213	128.737
363.448	400.38
420.5	373.189
82.6807	329.396
436.249	276.976
323.111	435.169
312.26	420.701
91.0509	334.868
355.966	198.92
403.387	477.543
89.7143	344.778
74.8853	311.361
263.303	113.902
84.4169	103.542
77.4524	161.958
77.6066	301.738
313.876	369.035
330.169	378.163
76.6524	35.5531
91.5733	354.603
293.97	83.8652
197.433	77.3686
298.723	188.237
421.561	99.8981
74.6049	310.437
71.5474	293.783
81.8672	320.019
202.685	313.914
424.182	174.018
66.4218	285.197
185.526	113.799
303.058	88.0378
121.799	51.3221
98.6941	361.624
98.9924	371.62
197.292	263.982
56.5978	287.064
50.6257	279.044
277.816	422.083
268.18	419.409
175.021	145.452
99.7712	381.59
