First viable solution . This file contains vector of points of the generated path.
X	Y
10.1764	13.6934
10.6533	23.682
11.1303	33.6706
11.6072	43.6592
12.0842	53.6479
12.5612	63.6365
27.4437	77.9149
43.1271	88.8452
56.1077	105.034
71.8969	119.485
76.8184	128.19
81.7398	136.895
86.6612	145.6
91.5826	154.306
96.5041	163.011
101.425	171.716
106.347	180.421
121.268	189.136
132.252	209.366
155.289	213.202
175.351	220.188
184.568	237.62
188.405	246.855
193.424	264.792
185.52	282.514
187.454	305.123
184.731	314.745
184.651	332.049
180.015	354.17
182.846	373.007
180.515	389.59
178.881	414.416
180.758	438.339
182.205	446.356
181.364	467.328
186.264	481.619
189.765	490.986
193.266	500.353
196.766	509.72
206.619	525.285
214.337	538.736
217.942	548.064
221.339	567.389
224.884	576.74
236.636	589.171
245.95	592.811
259.883	604.915
275.744	616.787
279.849	637.057
290.57	650.241
295.246	659.08
290.807	677.126
287.139	688.419
281.719	709.1
280.928	726.608
283.276	734.536
290.729	740.017
297.972	761.128
306.698	778.699
311.379	803.072
317.179	826.13
319.579	850.578
318.751	871.872
333.851	883.825
340.661	888.534
355.389	899.907
365.84	911.876
378.214	920.811
376.836	940.128
383.105	947.919
396.868	958.994
412.673	968.998
430.447	982.589
437.131	984.299
460.48	992.005
480.899	996.697
504.495	1001.98
526.15	1012.52
536.977	1013.91
552.909	1021.4
562.665	1023.59
581.941	1019.84
596.719	1004.17
612.723	986.302
618.28	989.176
638.451	986.807
654.322	993.024
677.857	992.103
698.833	997.947
721.091	995.695
734.724	995.697
754.377	992.783
773.044	985.673
782.414	982.18
803.704	976.668
823.136	981.845
841.673	987.953
859.817	987.847
881.564	988.637
903.087	992.199
912.852	990.041
937.358	988.184
952.694	985.207
972.245	986.522
991.589	990.472
1012.93	1001.98
1035.61	1011.69
1055.12	1017.46
1070.23	1020.6
1088.58	1026.37
1101.04	1037.36
1108.32	1044.21
1114.88	1061.04
1119.06	1077.51
1136.65	1085.45
1152.81	1099.65
1165.68	1114.37
1179.27	1126.66
1186.24	1143.59
1188.3	1168.37
1189.33	1191.26
1180.12	1207.49
1189.81	1217
1192.7	1234.28
1197.88	1242.83
1212.64	1262.54
1226.49	1276.97
1237.69	1286.25
1253.43	1289.39
1267.82	1296.65
1279.7	1312.52
1293.19	1331.16
1304.33	1350.57
1318.72	1369.97
1330.52	1385.04
1342.62	1400.82
1354.65	1410.79
1374.9	1422.81
1376.57	1442.1
1387.67	1455.31
1394.04	1461.75
1408.86	1471.59
1423.26	1478.55
1438.36	1483
1455.6	1481.9
1470.7	1484.84
1490	1490
