First viable solution . This file contains vector of points of the generated path.
X	Y
17.4159	30.7829
26.2519	35.4655
42.2471	52.2657
47.593	60.7168
52.9388	69.168
68.0426	75.4323
74.5344	83.0386
81.0262	90.645
87.518	98.2513
103.702	108.319
118.008	122.286
124.919	129.514
131.829	136.743
138.739	143.971
145.65	151.199
152.56	158.427
159.47	165.655
173.863	179.518
185.415	195.592
192.265	202.877
199.116	210.162
205.966	217.447
212.817	224.732
220.839	247.533
222.331	263.633
221.501	278.727
220.548	294.119
228.466	312.047
231.763	329.892
235.055	341.802
242.144	364.912
246.803	383.313
249.299	406.277
253.23	429.717
251.847	446.43
252.65	469.012
260.053	490.86
264.558	499.788
262.229	520.806
253.924	526.376
238.528	545.602
242.323	554.854
246.117	564.106
254.574	587.515
260.102	610.391
250.751	633.038
240.998	635.245
228.311	648.878
228.902	668.066
225.521	685.28
216.078	702.698
205.175	717.617
200.212	726.299
194.19	741.579
192.213	751.381
193.106	770.955
192.99	795.912
190.204	814.392
172.992	823.841
158.482	835.902
141.442	845.659
131.434	860.093
125.414	868.078
119.382	885.037
111.185	898.684
98.981	907.988
85.1427	922.111
68.2808	931.141
59.5759	936.063
50.3935	949.309
33.4125	958.886
25	975
