First viable solution . This file contains vector of points of the generated path.
X	Y
13.5632	10.5574
23.443	12.1028
33.3229	13.6483
43.2027	15.1938
53.0826	16.7392
62.9625	18.2847
72.8423	19.8302
80.6674	38.2691
77.4866	56.7991
74.8366	76.6226
67.3554	89.3408
72.6458	108.548
86.419	123.931
92.5119	136.347
94.773	158.179
101.162	174.831
121.541	185.817
138.383	190.295
145.59	200.425
160.378	209.582
180.229	220
176.762	237.8
186.29	246.796
200.169	264.071
211.455	269.381
225.4	279.703
240.991	292.744
250.396	296.141
267.293	307.294
273.837	314.855
287.559	331.823
299.834	345.932
312.926	364.135
327.455	383.068
339.732	387.208
356.431	394.699
375.875	405.671
381.669	421.861
396.848	435.965
412.552	451.039
416.507	468.153
423.144	475.633
433.143	475.583
453.113	475.868
471.589	482.795
490	490
