First viable solution . This file contains vector of points of the generated path.
X	Y
28.8546	33.4288
33.0136	42.5229
37.1725	51.617
41.3314	60.7112
45.4903	69.8053
63.3193	84.9052
68.7078	93.3291
74.0964	101.753
79.4849	110.177
84.8735	118.601
90.262	127.025
95.6505	135.449
101.039	143.873
107.376	167.951
117.997	184.881
128.213	202.075
133.249	210.714
138.285	219.354
143.321	227.993
144.801	250.39
149.82	259.04
150.765	282.008
148.894	299.944
153.002	309.061
157.11	318.178
161.219	327.295
165.327	336.412
169.435	345.529
179.541	362.648
177.656	379.706
171.718	398.77
169.744	416.54
173.186	425.929
176.727	445.903
182.279	464.611
187.992	472.819
199.765	487.713
209.25	490.881
221.122	501.93
229.458	507.454
247.51	513.376
257.076	510.461
281.591	510.486
304.471	509.629
313.401	527.488
325.678	548.45
339.258	562.946
353.906	574.611
358.944	583.249
361.879	601.587
370.927	619.385
382.632	638.103
387.78	655.768
393.897	678.78
393.178	688.754
392.78	706.125
393.849	723.075
390.049	732.325
381.648	749.103
380.872	766.482
370.233	782.494
354.465	797.295
345.193	801.041
327.836	804.265
317.996	802.485
295.326	801.67
285.391	802.807
265.93	803.719
243.11	813.447
235.632	820.086
219.534	830.558
201.259	837.468
176.688	838.133
153.829	847.851
134.032	852.068
124.213	853.964
106.798	869.555
97.8453	880.796
85.2775	896.31
73.4544	911.919
66.6755	919.271
57.1542	934.091
49.615	950.339
43.1168	967.588
25	975
