First viable solution . This file contains vector of points of the generated path.
X	Y
27.2977	32.7399
30.1437	42.3263
32.9896	51.9128
35.8356	61.4993
49.4562	81.5909
57.166	98.8133
61.1609	107.981
65.1558	117.148
81.7303	132.492
86.3978	141.336
91.0652	150.18
95.7327	159.024
100.4	167.868
105.068	176.712
109.735	185.556
114.403	194.4
119.07	203.244
123.737	212.088
136.631	226.617
141.475	235.366
154.213	250.254
159.188	258.928
164.164	267.602
169.14	276.276
169.312	293.721
165.474	302.955
154.952	316.188
157.143	335.237
161.061	344.438
164.98	353.638
168.899	362.838
178.788	384.227
177.136	401.712
180.88	410.985
184.625	420.257
188.37	429.53
192.214	448.802
193.764	467.942
197.325	477.287
200.885	486.632
204.445	495.976
208.006	505.321
212.393	522.596
211.312	532.537
206.753	548.19
210.035	557.637
217.169	580.886
220.436	590.337
223.703	599.788
215.617	616.76
212.097	635.33
216.968	654.721
207.482	670.572
204.985	688.817
201.559	704.003
188.463	719.064
175.749	732.91
169.554	748.301
160.128	762.192
153.925	780.883
153.281	800.13
148.132	817.345
143.726	826.322
133.509	848.435
123.928	863.269
116.773	870.255
109.833	888.083
110.811	898.035
104.46	914.791
102.428	924.582
92.2368	939.646
79.7544	954.088
60.0768	956.81
42.6373	965.723
25	975
